,Date,Période,year,Code INSEE région,Région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),Total production (MW),Total population,Température (°C),Tarif
0,2013-01-06,2013-01,2013,11,Île-de-France,2713343.0,210506.0,0.0,559.0,282.0,0.0,0.0,37920.0,2463593.0,249267.0,71758842.0,7.612500000000026,14.4019
1,2013-01-06,2013-01,2013,24,Centre-Val de Loire,710400.0,26535.0,2841296.0,22233.0,1044.0,9211.0,0.0,6793.0,-2197168.0,2907112.0,15423288.0,7.012500000000024,14.4019
2,2013-01-06,2013-01,2013,27,Bourgogne-Franche-Comté,768308.0,68437.0,0.0,5121.0,539.0,40139.0,-6.0,3815.0,649265.0,118045.0,16918698.0,4.877083333333356,14.4019
3,2013-01-06,2013-01,2013,28,Normandie,1079491.0,134966.0,2741296.0,22451.0,373.0,4361.0,0.0,15430.0,-1840217.0,2918877.0,19970184.0,7.8583333333333565,14.4019
4,2013-01-06,2013-01,2013,32,Hauts-de-France,1783737.0,228684.0,1224069.0,85155.0,635.0,286.0,0.0,19859.0,224077.0,1558688.0,35927298.0,8.11354166666669,14.4019
5,2013-01-06,2013-01,2013,44,Grand Est,1569558.0,181052.0,2687484.0,83634.0,2387.0,369808.0,-51016.0,16646.0,-1721535.0,3289995.0,33314328.0,5.980000000000023,14.4019
6,2013-01-06,2013-01,2013,52,Pays de la Loire,1007558.0,135798.0,0.0,8597.0,2163.0,350.0,0.0,9759.0,850262.0,156667.0,21965112.0,7.956250000000023,14.4019
7,2013-01-06,2013-01,2013,53,Bretagne,849159.0,18243.0,0.0,13045.0,893.0,22484.0,-2402.0,5487.0,790905.0,57750.0,19552242.0,8.800000000000024,14.4019
8,2013-01-06,2013-01,2013,75,Nouvelle-Aquitaine,1665172.0,73237.0,1798556.0,9106.0,8380.0,146448.0,0.0,39641.0,-411604.0,2075368.0,35065062.0,7.097500000000024,14.4019
9,2013-01-06,2013-01,2013,76,Occitanie,1460266.0,24437.0,672027.0,102997.0,13697.0,307304.0,-81795.0,22246.0,398268.0,1060913.0,34103268.0,6.257142857142881,14.4019
