,Date,Période,year,Code INSEE région,Région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Pompage (MW),Bioénergies (MW),Ech. physiques (MW),Total production (MW),Total population,Température (°C),Tarif
0,2013-12-31,2013-01,2013,11,Île-de-France,16826536.0,1511681.0,0.0,5861.0,1614.0,86.0,0.0,187515.0,15116737.0,1706757.0,370754017.0,3.440725806451635,14.4019
1,2013-12-31,2013-01,2013,24,Centre-Val de Loire,4418962.0,142685.0,15413978.0,243996.0,6996.0,47386.0,0.0,33722.0,-11472246.0,15888763.0,79686988.0,4.153629032258088,14.4019
2,2013-12-31,2013-01,2013,27,Bourgogne-Franche-Comté,4704866.0,487702.0,0.0,42601.0,4347.0,241036.0,-6.0,20181.0,3903732.0,795861.0,87413273.0,2.026382488479285,14.4019
3,2013-12-31,2013-01,2013,28,Normandie,6496893.0,1359372.0,14923798.0,172793.0,3332.0,28783.0,0.0,75817.0,-10071821.0,16563895.0,103179284.0,4.822678199791906,14.4019
4,2013-12-31,2013-01,2013,32,Hauts-de-France,11056438.0,1655356.0,7314899.0,533164.0,2851.0,1486.0,0.0,103008.0,1440237.0,9610764.0,185624373.0,2.720645161290345,14.4019
5,2013-12-31,2013-01,2013,44,Grand Est,9732409.0,3041047.0,14501127.0,550854.0,14825.0,1621295.0,-230275.0,87938.0,-9860425.0,19586811.0,172124028.0,2.1159201819685918,14.4019
6,2013-12-31,2013-01,2013,52,Pays de la Loire,6123395.0,1634777.0,0.0,150847.0,14908.0,2323.0,0.0,49781.0,4267383.0,1852636.0,113486412.0,5.854032258064537,14.4019
7,2013-12-31,2013-01,2013,53,Bretagne,5055739.0,94521.0,0.0,235349.0,7645.0,112716.0,-8719.0,25014.0,4586576.0,466526.0,101019917.0,7.18459421402972,14.4019
8,2013-12-31,2013-01,2013,75,Nouvelle-Aquitaine,9828102.0,378586.0,9591748.0,121825.0,47028.0,929447.0,0.0,202623.0,-1450144.0,11271257.0,181169487.0,5.515425971877607,14.4019
9,2013-12-31,2013-01,2013,76,Occitanie,8618360.0,153116.0,3698196.0,415368.0,68410.0,2409534.0,-353245.0,107533.0,2113717.0,6498912.0,176200218.0,4.988724029853085,14.4019
10,2013-12-31,2013-01,2013,84,Auvergne-Rhône-Alpes,14455649.0,565977.0,19264589.0,130835.0,27494.0,6070182.0,-612641.0,103065.0,-11099122.0,25549501.0,240485445.0,2.7777217741935707,14.4019
11,2013-12-31,2013-01,2013,93,Provence-Alpes-Côte d'Azur,9198006.0,1551131.0,0.0,24333.0,76094.0,2153863.0,-58.0,93777.0,5295632.0,3899140.0,153563925.0,5.7224245577523645,14.4019
12,2013-12-31,2013-02,2013,11,Île-de-France,15613449.0,1342749.0,0.0,6789.0,4251.0,8.0,0.0,173797.0,14083374.0,1527594.0,334874596.0,2.502806122449003,14.4019
13,2013-12-31,2013-02,2013,24,Centre-Val de Loire,4141006.0,116908.0,13980033.0,299844.0,14658.0,53641.0,0.0,32163.0,-10358470.0,14497247.0,71975344.0,2.93794642857145,14.4019
14,2013-12-31,2013-02,2013,27,Bourgogne-Franche-Comté,4406255.0,420302.0,0.0,49090.0,10603.0,247337.0,0.0,18512.0,3655115.0,745844.0,78953924.0,0.6602678571428798,14.4019
15,2013-12-31,2013-02,2013,28,Normandie,6028259.0,1363271.0,12634684.0,177160.0,7393.0,21810.0,0.0,70974.0,-8252042.0,14275292.0,93194192.0,3.679702078272933,14.4019
16,2013-12-31,2013-02,2013,32,Hauts-de-France,10060859.0,1613401.0,5912332.0,566387.0,8029.0,1339.0,0.0,91135.0,1863302.0,8192623.0,167660724.0,2.178794642857166,14.4019
17,2013-12-31,2013-02,2013,44,Grand Est,9179833.0,3744943.0,12169521.0,664312.0,28165.0,1410734.0,-178145.0,79225.0,-8744687.0,17918755.0,155466864.0,0.7714400183150414,14.4019
18,2013-12-31,2013-02,2013,52,Pays de la Loire,5721150.0,1813103.0,0.0,191716.0,28794.0,2586.0,0.0,44853.0,3637247.0,2081052.0,102503856.0,4.960267857142881,14.4019
19,2013-12-31,2013-02,2013,53,Bretagne,4638212.0,86293.0,0.0,245074.0,14435.0,94298.0,-7040.0,24885.0,4177846.0,457945.0,91243796.0,5.789285714285737,14.4019
20,2013-12-31,2013-02,2013,75,Nouvelle-Aquitaine,8963998.0,321708.0,8744393.0,139551.0,84816.0,1139804.0,0.0,185632.0,-1658488.0,10615904.0,163636956.0,4.726071428571451,14.4019
21,2013-12-31,2013-02,2013,76,Occitanie,7752824.0,111573.0,3421011.0,416915.0,106364.0,2791829.0,-316515.0,92861.0,1123875.0,6624038.0,159148584.0,4.498342950816713,14.4019
22,2013-12-31,2013-02,2013,84,Auvergne-Rhône-Alpes,13605248.0,475746.0,16616815.0,131009.0,41655.0,5598065.0,-443817.0,82818.0,-8901688.0,22502291.0,217212660.0,1.2983438940092387,14.4019
23,2013-12-31,2013-02,2013,93,Provence-Alpes-Côte d'Azur,8547998.0,1289123.0,0.0,23479.0,92626.0,2166880.0,-31.0,84599.0,4888431.0,3656676.0,138702900.0,4.9651461693548615,14.4019
